u,w,up,wp,ut,wt,error
0.16093482,0.10079641,0.03958736,0.061929867,0.038912,0.063542,0.0022874959
0.16093482,0.10079641,0.04293574,0.06107997,0.041861,0.062692,0.0026867688
0.16093482,0.10079641,0.04626168,0.06023569,0.044799,0.061868,0.0030949898
0.16093482,0.10079641,0.049566906,0.05940073,0.047727,0.061068,0.0035071746
0.16093482,0.10079641,0.052853625,0.058578808,0.050643,0.060293,0.003924817
0.16093482,0.10079641,0.056123864,0.057773218,0.053549,0.059541,0.0043426454
0.16093482,0.10079641,0.059379917,0.056987353,0.056444,0.058813,0.0047615618
0.16093482,0.10079641,0.062621936,0.056224264,0.059329,0.058108,0.005176671
0.16093482,0.10079641,0.06585227,0.055486813,0.062203,0.057426,0.0055884533
0.16093482,0.10079641,0.069071844,0.054776557,0.065068,0.056766,0.005993288
0.16093482,0.10079641,0.07228108,0.054087114,0.067922,0.056128,0.0063999593
0.16093482,0.10079641,0.0754825,0.053416666,0.070766,0.055511,0.0068108365
0.16093482,0.10079641,0.0786816,0.052764285,0.073601,0.054915,0.0072313175
0.16093482,0.10079641,0.08159353,0.052182514,0.076426,0.05434,0.007325016
0.16093482,0.10079641,0.08422555,0.051669374,0.079242,0.053786,0.007100176
0.16093482,0.10079641,0.08685018,0.051173385,0.082049,0.053251,0.006878797
0.16093482,0.10079641,0.08947416,0.050692875,0.084847,0.052736,0.0066702776
0.16093482,0.10079641,0.09210189,0.050225582,0.087636,0.05224,0.0064803027
0.16093482,0.10079641,0.09473671,0.04976831,0.090416,0.051763,0.0063154027
0.16093482,0.10079641,0.09740664,0.049303696,0.093189,0.051305,0.0062189437
0.16093482,0.10079641,0.10011943,0.04882366,0.095953,0.050865,0.006207764
0.16093482,0.10079641,0.10287656,0.04832595,0.098709,0.050443,0.0062846094
0.16093482,0.10079641,0.105399445,0.048186563,0.101458,0.050039,0.0057938844
0.16093482,0.10079641,0.1079693,0.04811523,0.1042,0.049652,0.005306069
0.16093482,0.10079641,0.110647514,0.04798328,0.106934,0.049282,0.005012229
0.16093482,0.10079641,0.11338629,0.047736786,0.109662,0.048929,0.004916504
0.16093482,0.10079641,0.11614503,0.047492325,0.112383,0.048592,0.004861705
0.16093482,0.10079641,0.11892088,0.047246963,0.115098,0.048271,0.0048469156
0.16093482,0.10079641,0.121710375,0.04699792,0.117807,0.047966,0.004871454
0.16093482,0.10079641,0.12451173,0.04674247,0.12051,0.047677,0.0049362667
0.16093482,0.10079641,0.1273243,0.046479255,0.123209,0.047403,0.0050390437
0.16093482,0.10079641,0.13014306,0.046210233,0.125903,0.047144,0.005173832
0.16093482,0.10079641,0.13295205,0.045937426,0.128592,0.0469,0.005322624
0.16093482,0.10079641,0.1357419,0.045663044,0.131277,0.04667,0.0054718666
0.16093482,0.10079641,0.13850386,0.045389093,0.133959,0.046455,0.005610775
0.16093482,0.10079641,0.14122875,0.04511764,0.136638,0.046254,0.0057271123
0.16093482,0.10079641,0.14392729,0.04485397,0.139315,0.046067,0.005825326
0.16093482,0.10079641,0.14659901,0.044600397,0.14199,0.045893,0.005901605
0.16093482,0.10079641,0.14936216,0.04436253,0.144663,0.045733,0.0060696267
0.16093482,0.10079641,0.15215833,0.0441394,0.147336,0.045585,0.0062679276
0.16093482,0.10079641,0.15492661,0.043929726,0.150009,0.045451,0.006438881
0.16093482,0.10079641,0.15766712,0.043734565,0.152683,0.04533,0.0065795444
0.16093482,0.10079641,0.16038217,0.04355482,0.155358,0.045221,0.0066903457
0.16093482,0.10079641,0.16307522,0.04339129,0.158036,0.045124,0.0067719407
0.16093482,0.10079641,0.16574766,0.043244623,0.160718,0.04504,0.006825041
0.16093482,0.10079641,0.16840751,0.043115366,0.163404,0.044967,0.006855145
0.16093482,0.10079641,0.17105527,0.043003768,0.166096,0.044907,0.0068625025
0.16093482,0.10079641,0.17369722,0.04291011,0.168795,0.044858,0.006850105
0.16093482,0.10079641,0.17634179,0.0428344,0.171502,0.044821,0.0068263933
0.16093482,0.10079641,0.17899157,0.042776592,0.174219,0.044795,0.0067909807
0.16093482,0.10079641,0.18163835,0.042734798,0.176947,0.04478,0.0067365505
0.16093482,0.10079641,0.18427561,0.042706855,0.179689,0.044776,0.0066557527
0.16093482,0.10079641,0.18691237,0.042692475,0.182446,0.044783,0.0065568946
0.16093482,0.10079641,0.18955906,0.042691357,0.185221,0.044801,0.006447699
0.16093482,0.10079641,0.19222127,0.042702988,0.188016,0.04483,0.006332282
