Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation568,0.018973659723997116,0.973688006401062,"[['ELU', 16], ['Sigmoid', 32]]",False,traininig_data/treino_s/,48,funnel
Bp,simulation419,0.008321438916027546,0.9473781585693359,"[['ELU', 16], ['ELU', 128], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,176,diamond
Bp,simulation305,0.005304375663399696,0.9574180841445923,"[['LeakyReLU', 64], ['Tanh', 16], ['SiLU', 32]]",False,traininig_data/treino_s/,112,bowtie
Bp,simulation337,0.006570092868059874,0.9635463953018188,"[['ReLU', 32], ['ReLU', 16], ['SiLU', 64]]",False,traininig_data/treino_s/,112,bowtie
Bp,simulation97,0.010726061649620533,0.9491425156593323,"[['Sigmoid', 32], ['ReLU', 32], ['ELU', 64]]",False,traininig_data/treino_s/,128,funnel
Bp,simulation434,0.004721211735159159,1.059375524520874,"[['LeakyReLU', 32], ['Sigmoid', 128], ['Tanh', 32]]",False,traininig_data/treino_s/,192,diamond
Bp,simulation679,0.022023692727088928,0.9689521193504333,"[['ELU', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,32,rectangle
Bp,simulation130,0.009659322910010815,1.0883536338806152,"[['LeakyReLU', 16], ['SiLU', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation357,0.008181458339095116,1.0208054780960083,"[['ELU', 32], ['ELU', 16], ['LeakyReLU', 64]]",False,traininig_data/treino_s/,112,bowtie
Bp,simulation673,0.010709290392696857,0.9129260182380676,"[['LeakyReLU', 32], ['Tanh', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation303,0.005002633668482304,0.9418773651123047,"[['Tanh', 64], ['SiLU', 16], ['SiLU', 128]]",False,traininig_data/treino_s/,208,bowtie
Bp,simulation542,0.02210048958659172,0.9270008206367493,"[['ReLU', 16], ['SiLU', 32]]",False,traininig_data/treino_s/,48,funnel
Bp,simulation395,0.005355350207537413,0.95395827293396,"[['Tanh', 128], ['LeakyReLU', 32], ['SiLU', 64]]",False,traininig_data/treino_s/,224,bowtie
Bp,simulation327,0.00713185453787446,0.9427486658096313,"[['SiLU', 32], ['Tanh', 16], ['ELU', 32]]",False,traininig_data/treino_s/,80,bowtie
Bp,simulation718,0.01103154756128788,0.9717058539390564,"[['LeakyReLU', 64], ['Sigmoid', 32]]",False,traininig_data/treino_s/,96,bottleneck
Bp,simulation540,0.02067999169230461,1.009450078010559,"[['Sigmoid', 16], ['LeakyReLU', 64]]",False,traininig_data/treino_s/,80,funnel
Bp,simulation258,0.0057393829338252544,0.90944504737854,"[['ELU', 64], ['LeakyReLU', 32], ['ELU', 32]]",False,traininig_data/treino_s/,128,bottleneck
Bp,simulation288,0.008388866670429707,0.9598170518875122,"[['Tanh', 32], ['SiLU', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,64,bottleneck
Bp,simulation748,0.008520074188709259,1.022808313369751,"[['ReLU', 128], ['ReLU', 64]]",False,traininig_data/treino_s/,192,bottleneck
Bp,simulation397,0.00790257379412651,0.974726676940918,"[['SiLU', 32], ['Sigmoid', 16], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,80,bowtie
Bp,simulation508,0.008479397743940353,0.941996693611145,"[['ReLU', 64], ['Tanh', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation219,0.010653547942638397,0.9869345426559448,"[['ELU', 32], ['LeakyReLU', 16], ['Tanh', 16]]",False,traininig_data/treino_s/,64,bottleneck
Bp,simulation416,0.008877905085682869,0.9768719673156738,"[['Tanh', 32], ['ReLU', 64], ['ReLU', 16]]",False,traininig_data/treino_s/,112,diamond
Bp,simulation510,0.05244141072034836,0.930057942867279,"[['Sigmoid', 16], ['Sigmoid', 64]]",False,traininig_data/treino_s/,80,funnel
Bp,simulation734,0.01987770013511181,0.9300707578659058,"[['Tanh', 128], ['ELU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation39,0.013398054987192154,0.9703454375267029,"[['SiLU', 16], ['ReLU', 16], ['Tanh', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation634,0.03795051574707031,0.9943579435348511,"[['Sigmoid', 16], ['Tanh', 16]]",False,traininig_data/treino_s/,32,rectangle
Bp,simulation506,0.011547751724720001,0.9641247391700745,"[['SiLU', 64], ['ReLU', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation594,0.013231232762336731,0.9899489879608154,"[['Tanh', 64], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation551,0.01071713212877512,0.9267152547836304,"[['ReLU', 64], ['Sigmoid', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation693,0.013778544031083584,0.9387710094451904,"[['SiLU', 32], ['Sigmoid', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation253,0.008356268517673016,0.9907519221305847,"[['ReLU', 128], ['ReLU', 16], ['SiLU', 16]]",False,traininig_data/treino_s/,160,bottleneck
Bp,simulation795,0.017727132886648178,0.9326597452163696,"[['ELU', 128], ['ReLU', 64]]",False,traininig_data/treino_s/,192,bottleneck
Bp,simulation348,0.009244358167052269,1.1015865802764893,"[['ELU', 32], ['LeakyReLU', 16], ['LeakyReLU', 64]]",False,traininig_data/treino_s/,112,bowtie
Bp,simulation75,0.003984970971941948,0.9305291175842285,"[['ReLU', 64], ['Sigmoid', 64], ['Tanh', 128]]",False,traininig_data/treino_s/,256,funnel
Bp,simulation446,0.0038488113787025213,1.001953125,"[['ReLU', 64], ['Sigmoid', 128], ['Sigmoid', 64]]",False,traininig_data/treino_s/,256,diamond
Bp,simulation617,0.015881817787885666,0.9723589420318604,"[['ELU', 128], ['Tanh', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation56,0.004716730210930109,0.9544273614883423,"[['ELU', 16], ['ReLU', 64], ['Sigmoid', 128]]",False,traininig_data/treino_s/,208,funnel
Bp,simulation729,0.016401823610067368,0.9550652503967285,"[['Tanh', 64], ['SiLU', 32]]",False,traininig_data/treino_s/,96,bottleneck
Bp,simulation4,0.009288079105317593,1.0022943019866943,"[['LeakyReLU', 16], ['Tanh', 16], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,64,funnel
Bp,simulation449,0.005709912162274122,0.9519742727279663,"[['Tanh', 32], ['LeakyReLU', 128], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,192,diamond
Bp,simulation550,0.022296568378806114,0.9375165700912476,"[['ELU', 32], ['ELU', 64]]",False,traininig_data/treino_s/,96,funnel
Bp,simulation290,0.006756613962352276,1.0159614086151123,"[['SiLU', 64], ['ReLU', 32], ['ELU', 16]]",False,traininig_data/treino_s/,112,bottleneck
Bp,simulation107,0.014683467335999012,0.9483705163002014,"[['ELU', 16], ['ReLU', 16], ['SiLU', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation329,0.005556053016334772,0.9781652688980103,"[['ELU', 64], ['Sigmoid', 32], ['SiLU', 128]]",False,traininig_data/treino_s/,224,bowtie
Bp,simulation58,0.004602621775120497,1.0391008853912354,"[['ELU', 32], ['ReLU', 64], ['ReLU', 128]]",False,traininig_data/treino_s/,224,funnel
Bp,simulation116,0.004835361149162054,0.923794686794281,"[['LeakyReLU', 32], ['Tanh', 32], ['Tanh', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation751,0.042883437126874924,1.0432360172271729,"[['Sigmoid', 32], ['ELU', 16]]",False,traininig_data/treino_s/,48,bottleneck
Bp,simulation208,0.006453307345509529,0.947858989238739,"[['ReLU', 128], ['ReLU', 64], ['ReLU', 16]]",False,traininig_data/treino_s/,208,bottleneck
Bp,simulation163,0.0058535016141831875,0.9449533820152283,"[['LeakyReLU', 32], ['SiLU', 32], ['SiLU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation758,0.052147991955280304,0.9630998969078064,"[['Sigmoid', 32], ['SiLU', 16]]",False,traininig_data/treino_s/,48,bottleneck
Bp,simulation636,0.014110692776739597,0.9554336071014404,"[['SiLU', 32], ['Tanh', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation652,0.011147539131343365,0.9279944896697998,"[['SiLU', 64], ['SiLU', 64]]",False,traininig_data/treino_s/,128,rectangle
Bp,simulation232,0.008906161412596703,0.961510956287384,"[['Sigmoid', 64], ['Tanh', 64], ['ReLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation251,0.008994024246931076,1.0409711599349976,"[['Sigmoid', 64], ['SiLU', 64], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation336,0.005160389002412558,1.1069464683532715,"[['SiLU', 64], ['SiLU', 32], ['Sigmoid', 64]]",False,traininig_data/treino_s/,160,bowtie
Bp,simulation566,0.017902804538607597,0.9072788953781128,"[['ReLU', 16], ['SiLU', 128]]",False,traininig_data/treino_s/,144,funnel
Bp,simulation601,0.020185308530926704,0.9510590434074402,"[['Tanh', 32], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation422,0.006116417236626148,0.9841227531433105,"[['ReLU', 32], ['ELU', 64], ['Tanh', 32]]",False,traininig_data/treino_s/,128,diamond
Bp,simulation24,0.007288707885891199,0.9950687289237976,"[['ELU', 16], ['ReLU', 16], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation411,0.0057600559666752815,0.9436705112457275,"[['SiLU', 64], ['ELU', 128], ['LeakyReLU', 64]]",False,traininig_data/treino_s/,256,diamond
Bp,simulation175,0.005804305896162987,0.9503013491630554,"[['ELU', 32], ['Sigmoid', 32], ['Sigmoid', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation730,0.017069127410650253,0.888242244720459,"[['ELU', 64], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,96,bottleneck
Bp,simulation148,0.012377141043543816,0.8536324501037598,"[['ELU', 16], ['Sigmoid', 16], ['ReLU', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation186,0.00754930917173624,0.9520747065544128,"[['Tanh', 32], ['Tanh', 32], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,96,rectangle
